Выбрано: Изысканный рацион (пони/год) 1
_--Полевые работы (нормо-часов)                              | 260
_--Транспортировка (нормо-часов)                             | 21
_--Хозяйственные работы (нормо-часов)                        | 94
_-Обработка пищи (нормо-часов)                               | 127
_-Приготовление пищи (нормо-часов)                           | 206
|----Обжитые земли (квадратный километр)                     | 0
|---Леса (гектар)                                            | 1
|---Луга (гектар)                                            | 0
|---Огороды (гектар)                                         | 0
|---Пашня (гектар)                                           | 0
|---Плантации (гектар)                                       | 0
|---Сады (гектар)                                            | 0
|====Грузов произведено (тонн)                               | 5
|===Грузов перевезено (тонн)                                 | 7
|===Грузооборот (тонно-километр)                             | 1666
|===Склад полевой (кубометр)                                 | 10
|===Склад сырьевой (кубометр)                                | 10
|===Склад товарный (кубометр)                                | 1
|==Зернобобовые (тонн)                                       | 0
|==Зерновые (тонн)                                           | 0
|==Овощи (тонн)                                              | 1
|==Продовольствие (тонн)                                     | 0
|==Стройматериалы (тонн)                                     | 0
|==Сырьё пищевое (тонн)                                      | 1
|==Сырьё промышленное (тонн)                                 | 2
|==Фрукты (тонн)                                             | 0

----

Абрикос (килограмм)                                          | 2
Алыча (килограмм)                                            | 1
Арахис в шелухе (килограмм)                                  | 5
Арбуз (килограмм)                                            | 3
Артишоки (килограмм)                                         | 7
Асафетида (килограмм)                                        | 0
Бадьян (килограмм)                                           | 0
Базилик (килограмм)                                          | 2
Баклажан (килограмм)                                         | 8
Батат (килограмм)                                            | 17
Бобы гороха в стручках (килограмм)                           | 11
Бобы нута в стручках (килограмм)                             | 4
Бобы соевые неочищенные (килограмм)                          | 4
Бобы урда в стручках (килограмм)                             | 7
Бобы фасоли в стручках (килограмм)                           | 11
Бобы чечевицы в стручках (килограмм)                         | 13
Боровики (килограмм)                                         | 15
Брокколи (килограмм)                                         | 13
Брюква (килограмм)                                           | 7
Виноград (килограмм)                                         | 85
Вишня (килограмм)                                            | 18
Вода кипячёная (литр)                                        | 357
Вода хозяйственная (литр)                                    | 5187
Водоросли красные (килограмм)                                | 2
Вёшенки (килограмм)                                          | 10
Гвоздика (килограмм)                                         | 0
Груша (килограмм)                                            | 30
Дрова (килограмм)                                            | 1642
Дыня (килограмм)                                             | 2
Зверобой (килограмм)                                         | 1
Земляника (килограмм)                                        | 5
Зерно гречихи посевной (килограмм)                           | 9
Зерно кукурузы (килограмм)                                   | 21
Зерно овса (килограмм)                                       | 12
Зерно просо (килограмм)                                      | 4
Зерно пшеницы (килограмм)                                    | 53
Зерно ржи (килограмм)                                        | 20
Зерно риса посевного (килограмм)                             | 30
Зерно ячменя (килограмм)                                     | 9
Известь негашёная (килограмм)                                | 0
Имбирь (килограмм)                                           | 1
Инжир (килограмм)                                            | 1
Кабачок (килограмм)                                          | 10
Капуста белокочанная (килограмм)                             | 31
Картофель (килограмм)                                        | 149
Клевер (килограмм)                                           | 1
Кориандр (килограмм)                                         | 4
Корица (килограмм)                                           | 0
Крапива (килограмм)                                          | 1
Кресс-салат (килограмм)                                      | 2
Куркума (килограмм)                                          | 0
Лаванда (килограмм)                                          | 1
Латук посевной (килограмм)                                   | 1
Лимон (килограмм)                                            | 13
Лист дуба (килограмм)                                        | 0
Лист карри (килограмм)                                       | 0
Лист лавра (килограмм)                                       | 0
Лист смородины (килограмм)                                   | 3
Лист чабера (килограмм)                                      | 0
Лук репчатый (килограмм)                                     | 62
Майоран (килограмм)                                          | 0
Малина (килограмм)                                           | 2
Манго (килограмм)                                            | 0
Морковь (килограмм)                                          | 61
Морошка (килограмм)                                          | 5
Морская капуста (килограмм)                                  | 4
Мята (килограмм)                                             | 2
Мёд луговой (килограмм)                                      | 8
Огурцы (килограмм)                                           | 9
Одуванчик (килограмм)                                        | 9
Оливки (килограмм)                                           | 68
Орегано (килограмм)                                          | 2
Орех карии (килограмм)                                       | 3
Орех кешью (килограмм)                                       | 1
Орех мускатный (килограмм)                                   | 0
Орех пекана (килограмм)                                      | 3
Орешки кедровые в шишках (килограмм)                         | 2
Пастернак (килограмм)                                        | 6
Перец сладкий (килограмм)                                    | 21
Персик (килограмм)                                           | 7
Петрушка (килограмм)                                         | 5
Плоды пименты лекарственной (килограмм)                      | 1
Плоды чёрного перца (килограмм)                              | 3
Ревень (килограмм)                                           | 22
Редька (килограмм)                                           | 1
Репа (килограмм)                                             | 11
Розмарин (килограмм)                                         | 1
Ромашка (килограмм)                                          | 1
Рябина (килограмм)                                           | 0
Сахарный тростник (килограмм)                                | 426
Свёкла (килограмм)                                           | 19
Сельдерей (килограмм)                                        | 21
Семена аниса (килограмм)                                     | 0
Семена горчицы белой (килограмм)                             | 0
Семена горчицы коричневой (килограмм)                        | 0
Семена зиры (килограмм)                                      | 0
Семена кардамона (килограмм)                                 | 0
Семена конопли (килограмм)                                   | 5
Семена кориандра (килограмм)                                 | 0
Семена кунжута (килограмм)                                   | 9
Семена льна (килограмм)                                      | 6
Семена мака (килограмм)                                      | 1
Семена подсолнечника (килограмм)                             | 56
Семена тмина (килограмм)                                     | 0
Семена фенугрека (килограмм)                                 | 0
Семена фенхеля (килограмм)                                   | 0
Слива (килограмм)                                            | 14
Смородина (килограмм)                                        | 9
Сморчки (килограмм)                                          | 8
Сода пищевая (килограмм)                                     | 0
Сок кленовый (килограмм)                                     | 145
Соль поваренная (килограмм)                                  | 5
Соль чёрная (килограмм)                                      | 0
Спаржа (килограмм)                                           | 8
